Antiquity,Bathrooms,Community_Expenses,Condition,Deposit,Elevator,Emissions,Energy_Consumption,Extra,Floor,Furnished,Heating,Neighborhood,Orientation,Parking,Pets,Photos,Price,Rooms,Size,Title,Type,Water_Heater,url
,1,,Muy bien,,Sí,En trámite,G,Armarios-Electrodomésticos-Puerta Blindada-Cocina Equipada,2ª planta,Sí,Gas Natural,"Calle Donoso Cortés, Chamberí",Sureste,,,6,750 €,2,51,Piso de alquiler en Calle Donoso Cortés Gaztambide,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/158623632/d
5 a 10 años,2,Sí,Reformado,,Sí,B,C,Aire acondicionado-Armarios-Parquet-Trastero-Cocina Office-Patio-Suite - con baño-Electrodomésticos-Lavadora-Microondas-Nevera-Serv. portería-TV-Balcón-Internet-Videoportero-Puerta Blindada,nan,No,Electricidad,"Calle de Hortaleza, 61, Centro",Este,Comunitario,,30,1.700 €,2,157,"Piso de alquiler en Calle de Hortaleza, 61 Justicia - Chueca",Piso,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-patio-parking-television-internet-no-amueblado/145255644/d
30 a 50 años,2,Sí,Casi nuevo,,Sí,En trámite,G,Aire acondicionado-Armarios-Terraza-Z. Comunitaria-Cocina Office-Patio-Suite - con baño-Electrodomésticos-Horno-Lavadora-Microondas-Serv. portería-TV-Puerta Blindada-Piscina comunitaria-Lavadero-Cocina Equipada,2ª planta,Sí,Gas Natural,"Sorzano, Ciudad Lineal",Sureste,Comunitario,,66,1.900 €,3,158,Piso de alquiler en Sorzano San Juan Bautista,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-patio-amueblado-parking-television-piscina/158127667/d
nan,1,Sí,nan,,Sí,C,D,Aire acondicionado-Armarios-Parquet-Cocina Office-Horno,5ª planta,No,nan,"Avenida de Los Toreros, 18, Salamanca",nan,nan,,28,1.551 €,1,59,"Ático de alquiler en Avenida de Los Toreros, 18 Guindalera",Ático,nan,https://www.fotocasa.es/es/alquiler/vivienda/obra-nueva/madrid-capital/19676869/157937554
50 a 70 años,3,Sí,Muy bien,Sí,Sí,E,E,Armarios-Parquet-Terraza-Horno-Lavadora-Serv. portería-Puerta Blindada-Cocina Equipada,7ª planta,No,Gas Natural,"Calle de la Estrella Polar, Retiro",nan,nan,,36,1.400 €,4,132,Piso de alquiler en Calle de la Estrella Polar Estrella,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-ascensor-no-amueblado/158590682/d
nan,4,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Terraza-Serv. portería,3ª planta,nan,nan,"Pintor Rosales, 4, Moncloa",nan,Privado,,16,3.900 €,5,360,"Piso de alquiler en Pintor Rosales, 4 Argüelles",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor/157453435/d
nan,1,nan,nan,nan,nan,C,C,,1ª planta,nan,nan,"Calle Hermanos Machado, 17, Ciudad Lineal",nan,nan,,49,799 €,1,50,"Piso de alquiler en Calle Hermanos Machado, 17 Ventas",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/obra-nueva/madrid-capital/19676913/157939109
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Lavadora-Microondas-Nevera-TV-Internet,nan,nan,nan,"Calle Bordadores, Centro",nan,nan,,8,830 €,1,30,Apartamento de alquiler en Calle Bordadores Sol,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/158068630/d
30 a 50 años,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Z. Comunitaria-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Puerta Blindada-Piscina comunitaria-Lavadero-Cocina Equipada,6ª planta,Sí,nan,"Calle de la Costa Brava, Fuencarral",nan,Comunitario,,17,1.100 €,3,110,Piso de alquiler en Calle de la Costa Brava Mirasierra,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-amueblado-parking-piscina-no-amueblado/157672090/d
50 a 70 años,2,Sí,Casi nuevo,nan,Sí,D,D,Aire acondicionado-Armarios-Gres Cerámica-Jardín Privado-Z. Comunitaria-Cocina Office-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-TV-Internet-Zona Infantil-Puerta Blindada-Cocina Equipada,7ª planta,Sí,Gas Natural,"Paseo de la Castellana, 203, Tetuán",Sur,nan,,29,2.000 €,4,140,"Piso de alquiler en Paseo de la Castellana, 203 Almenara -Ventilla",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-zona-comunitaria-ascensor-amueblado-television-internet/157933701/d
1 a 5 años,2,nan,nan,nan,Sí,B,C,Aire acondicionado-Armarios-Calefacción-Piscina-Serv. portería-Gimnasio-Videoportero-Piscina comunitaria-Cocina Equipada,6ª planta,nan,nan,"Gran Vía, 68, Centro",nan,Privado,,35,1.900 €,1,82,"Apartamento de alquiler en Gran Vía, 68 Universidad - Malasaña",Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-piscina-piscina/158852556/d
nan,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Serv. portería-Balcón-Videoportero-Cocina Equipada,3ª planta,Sí,nan,"De Ayala, Salamanca",nan,nan,Sí,17,1.850 €,2,86,Dúplex de alquiler en De Ayala Recoletos,Dúplex,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-se-aceptan-mascotas/158463559/d
+ 100 años,2,Sí,nan,nan,Sí,En trámite,G,Armarios-Calefacción-Parquet-Cocina Office-Suite - con baño-Electrodomésticos-Horno-Lavadora-Nevera-Balcón-Cocina Equipada,2ª planta,nan,nan,"Calle de Felipe III, Centro",nan,nan,Sí,24,1.600 €,3,110,Piso de alquiler en Calle de Felipe III Sol,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-se-aceptan-mascotas/158102301/d
nan,1,Sí,Casi nuevo,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Electrodomésticos-Cocina Equipada,2ª planta,Sí,Electricidad,"Blasco de Garay, Chamberí",nan,nan,nan,16,850 €,1,45,Piso de alquiler en Blasco de Garay Arapiles,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158852561/d
