Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Emissions,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Len_Extras,Photos,Price,Rooms,Size,Swimming_Pool,Terrace,Type
0,70-100,1,Gaztambide,0,0,Chamberí,1,G,G,0,1,1-4,1,0,4,6,750,2,51,0,0,Piso
1,5-10,2,Justicia,0,1,Centro,1,B,C,1,1,1-4,0,0,18,30,1700,2,157,0,0,Piso
1,30-50,2,San Juan Bautista,1,1,Ciudad Lineal,1,G,G,1,1,1-4,1,0,18,66,1900,3,158,1,1,Piso
1,50-70,1,Guindalera,0,0,Salamanca,1,C,D,0,1,5-8,0,0,5,28,1551,1,59,0,0,Ático
0,50-70,3,Estrella,0,1,Retiro,1,E,E,0,1,5-8,0,0,8,36,1400,4,132,0,1,Piso
1,70-100,4,Argüelles,0,1,Moncloa,1,G,G,0,0,1-4,0,0,5,16,3900,5,360,0,1,Piso
0,50-70,1,Ventas,0,0,Ciudad Lineal,0,C,C,0,0,1-4,0,0,1,49,799,1,50,0,0,Piso
1,+100,1,Sol,0,0,Centro,0,G,G,0,1,Sótano,0,0,7,8,830,1,30,0,0,Apartamento
1,30-50,2,Mirasierra,1,1,Fuencarral,1,G,G,0,1,5-8,1,0,13,17,1100,3,110,1,0,Piso
1,50-70,2,Almenara,1,1,Tetuán,1,D,D,0,1,5-8,1,1,17,29,2000,4,140,0,0,Piso
1,1-5,2,Universidad,1,1,Centro,1,B,C,0,1,5-8,0,0,9,35,1900,1,82,1,0,Apartamento
1,+100,2,Recoletos,0,1,Salamanca,1,G,G,0,1,1-4,1,0,8,17,1850,2,86,0,0,Dúplex
0,+100,2,Sol,0,0,Centro,1,G,G,1,1,1-4,0,0,12,24,1600,3,110,0,0,Piso
1,70-100,1,Arapiles,0,0,Chamberí,1,G,G,0,1,1-4,1,0,4,16,850,1,45,0,0,Piso
1,50-70,2,El Viso,0,1,Chamartín,1,E,E,0,1,5-8,1,0,7,20,3200,3,107,0,1,Ático
1,5-10,1,Palacio,1,1,Centro,1,G,G,0,1,1-4,0,0,12,22,900,1,65,0,0,Apartamento
0,30-50,1,Nueva España,0,0,Chamartín,0,G,G,0,1,1-4,1,0,8,17,900,3,90,0,0,Piso
0,30-50,1,Embajadores,0,0,Centro,1,G,G,0,1,1-4,0,0,3,16,495,1,30,0,0,Piso
