Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Price,Rooms,Size,Swimming_Pool,Terrace,Type
1,70-100,1,Ibiza,0,1,Retiro,1,G,0,1,1,1,0,850,2,49,0,0,Piso
1,+100,3,Almagro,0,0,Chamberí,1,G,0,1,3,0,0,2850,3,155,0,1,Piso
1,10-20,2,Valdefuentes,1,1,Hortaleza,1,G,0,1,6,0,0,1250,2,101,1,1,Ático
0,10-20,2,Valdefuentes,1,1,Hortaleza,1,D,1,1,3,0,0,1015,2,93,1,0,Piso
1,1-5,2,Universidad,1,1,Centro,1,C,0,1,6,0,0,1900,1,82,1,0,Apartamento
0,+100,2,Sol,0,0,Centro,1,G,1,1,2,0,0,1600,3,110,0,0,Piso
1,+100,2,Recoletos,0,1,Salamanca,1,G,0,1,3,1,0,1850,2,86,0,0,Dúplex
1,+100,1,Cortes,0,0,Centro,0,E,0,1,4,1,0,700,1,52,0,0,Dúplex
1,+100,1,Sol,0,0,Centro,0,G,0,1,Sótano,0,0,830,1,30,0,0,Apartamento
0,70-100,1,Puerta del Ángel,0,0,Latina,0,G,0,1,1,0,0,700,2,55,0,0,Piso
0,+100,1,Embajadores,0,0,Centro,0,G,1,1,Bajos,1,0,650,1,32,0,0,Piso
1,+100,1,Embajadores,0,0,Centro,1,G,0,0,2,0,0,950,2,55,0,0,Piso
0,70-100,1,Ibiza,0,1,Retiro,1,G,0,1,2,1,0,750,1,35,0,0,Apartamento
1,50-70,1,Puerta del Ángel,0,0,Latina,0,G,0,1,4,1,0,850,3,80,0,0,Piso
1,50-70,2,Almenara,1,1,Tetuán,1,D,0,1,7,1,1,2000,4,140,0,0,Piso
0,70-100,1,Delicias,0,0,Arganzuela,1,G,0,1,2,0,0,888,2,67,0,0,Piso
0,50-70,1,Amposta,0,0,San Blas,0,G,0,0,2,0,0,650,3,60,0,0,Piso
1,+100,1,Palacio,0,0,Centro,1,G,0,1,3,1,0,575,1,30,0,0,Estudio
1,30-50,1,Aluche,0,0,Latina,0,G,0,1,1,1,0,580,1,35,0,0,Estudio
1,30-50,2,San Juan Bautista,1,1,Ciudad Lineal,1,G,1,1,2,1,0,1900,3,158,1,1,Piso
1,10-20,1,Almagro,1,0,Chamberí,1,D,0,1,3,0,0,925,1,55,0,0,Piso
1,10-20,1,Ciudad Jardín,0,0,Chamartín,1,G,0,1,2,0,0,750,1,45,0,0,Apartamento
1,+100,1,Cortes,0,1,Centro,1,G,0,1,5,1,0,775,1,80,0,0,Piso
1,50-70,1,Almenara,1,1,Tetuán,1,E,0,1,5,1,1,1250,2,90,0,0,Piso
0,30-50,1,Almagro,0,0,Chamberí,0,G,0,1,1,0,0,1200,2,85,0,0,Apartamento
1,5-10,2,Justicia,0,1,Centro,1,C,1,1,2,0,0,1700,2,157,0,0,Piso
